id,migration,batch
1,2014_10_12_000000_create_users_table,1
2,2014_10_12_100000_create_password_resets_table,1
3,2019_08_19_000000_create_failed_jobs_table,1
4,2019_12_14_000001_create_personal_access_tokens_table,1
5,2023_07_26_120819_create_permission_tables,1
6,2023_07_27_085647_create_master_products_table,1
7,2023_07_27_085703_create_master_inggridients_table,1
8,2023_07_27_085725_create_suppliers_table,1
9,2023_07_27_085749_create_product_inggridients_table,1
10,2023_07_27_085801_create_purchases_table,1
11,2023_07_27_085812_create_request_sales_table,1
12,2023_07_27_085824_create_detail_purchases_table,1
13,2023_07_27_085836_create_detail_request_sales_table,1
14,2023_07_27_085847_create_inggridient_histories_table,1